title;latitude;longitude;image;description
2;54,219558;20,550592;;
2;53,833736;20,850817;;
2;53,669986;20,703031;;
2;53,552125;20,426453;;
2;49,790442;22,878528;;
2;49,474744;22,44045;;
2;51,176017;22,354925;;
2;49,235425;22,562542;;
2;49,676622;21,833136;;
2;52,428394;17,4965;;
2;51,787619;18,9262;;
2;52,225883;17,845419;;
2;52,364122;17,949706;;
2;52,176494;18,580769;;
2;52,168928;17,988119;;
2;52,074394;18,016531;;
2;51,750944;19,107667;;
2;50,978519;18,695178;;
2;51,975803;18,61095;;
2;51,638125;19,395497;;
2;51,34845;19,086817;;
2;51,025208;18,874403;;
2;50,766356;18,642747;;
2;50,873011;18,597853;;
2;52,147536;17,670478;;
2;51,109911;19,181197;;
2;52,214331;18,369078;;
2;50,890644;19,561064;;
2;50,756667;19,473961;;
2;50,620739;19,216561;;
2;52,200892;18,137367;;
2;52,107225;18,689508;;
2;51,981781;18,770028;;
2;51,606153;18,735119;;
2;51,522231;18,873728;;
2;51,387683;18,814439;;
2;51,118192;18,668494;;
2;51,264183;18,787069;;
2;51,024467;19,352806;;
2;51,047483;19,033686;;
2;49,961569;19,442583;;
2;50,876911;19,397808;;
2;51,297211;19,246311;;
2;51,139531;19,501567;;
2;54,069611;23,117358;;
2;54,119628;22,883617;;
2;49,947861;19,026792;;
2;51,268797;19,374289;;
2;54,295411;22,833897;;
2;52,778486;21,212972;;
2;52,899161;21,074953;;
2;53,249008;20,921481;;
2;53,012953;21,119928;;
2;52,953183;21,405875;;
2;53,527386;21,047397;;
2;53,2602;20,611503;;
2;53,498042;20,890803;;
2;53,605681;20,893814;;
2;53,088011;21,520125;;
2;53,278286;21,187611;;
2;53,40275;20,901089;;
2;53,180694;21,354764;;
2;53,314339;21,411008;;
2;53,054436;15,958833;;
2;53,186117;21,580406;;
2;53,197572;16,0673;;
2;53,298056;15,954369;;
2;54,355331;17,390775;;
2;53,176372;15,800403;;
2;54,158303;17,480142;;
2;54,561908;16,874617;;
2;54,512569;17,023014;;
2;54,212439;17,718822;;
2;54,355442;17,186972;;
2;54,254208;17,56375;;
2;52,592772;14,622428;;
2;52,633569;15,049522;;
2;52,602769;15,501006;;
2;52,622714;15,895419;;
